customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,No,54,Yes,No,DSL,No internet service,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,97.51,5255.62,No
CUST00001,Female,0,No,No,35,No,No phone service,No,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card,91.67,3215.59,No
CUST00002,Male,0,Yes,No,36,Yes,No,No,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card,60.29,2151.65,No
CUST00003,Male,0,No,Yes,13,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer,90.93,1193.09,No
CUST00004,Male,1,No,Yes,26,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No,One year,Yes,Electronic check,82.3,2147.72,No
CUST00005,Female,0,Yes,Yes,30,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,96.9,2889.2,No
CUST00006,Male,0,No,Yes,43,Yes,No,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,51.41,2210.55,No
CUST00007,Male,0,No,No,67,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,85.08,5696.53,No
CUST00008,Male,1,Yes,No,47,No,No phone service,No,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Electronic check,82.56,3866.65,No
CUST00009,Female,0,Yes,No,56,No,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card,29.05,1612.96,No
CUST00010,Male,0,Yes,No,21,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,48.1,996.51,No
CUST00011,Male,1,Yes,Yes,3,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Credit card,106.02,322.05,Yes
CUST00012,Male,1,No,No,71,No,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,No,Credit card,35.61,2515.15,No
CUST00013,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Credit card,57.96,2590.58,Yes
CUST00014,Female,0,Yes,No,58,No,No phone service,No,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card,42.52,2484.46,No
CUST00015,Male,0,Yes,No,33,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,34.02,1104.23,No
CUST00016,Female,0,Yes,No,10,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,No,Bank transfer,33.64,342.96,No
CUST00017,Female,0,Yes,Yes,30,Yes,No,No,No,Yes,Yes,No,No,No,One year,No,Bank transfer,54.8,1661.44,Yes
CUST00018,Female,1,No,Yes,10,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,100.35,985.02,No
CUST00019,Male,1,Yes,No,55,No,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,116.63,6433.28,No
CUST00020,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,One year,No,Electronic check,77.18,2855.75,No
CUST00021,Male,0,Yes,No,20,No,No,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,No,Bank transfer,83.52,1681.8,Yes
CUST00022,Female,1,Yes,Yes,9,No,Yes,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,97.87,885.83,Yes
CUST00023,Female,0,Yes,Yes,25,No,Yes,No,Yes,No,Yes,No,No,No internet service,One year,No,Electronic check,86.18,2159.17,No
CUST00024,Female,0,Yes,Yes,7,No,No phone service,No,No internet service,No,No internet service,No internet service,Yes,No,Two year,No,Electronic check,104.83,745.36,No
CUST00025,Female,0,Yes,No,7,Yes,No phone service,No,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Credit card,108.41,741.49,Yes
CUST00026,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two year,No,Mailed check,82.77,4879.13,Yes
CUST00027,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card,73.31,5223.79,No
CUST00028,Female,1,Yes,Yes,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,59.11,1932.81,No
CUST00029,Female,0,No,No,15,No,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Electronic check,66.16,982.91,No
CUST00030,Male,0,Yes,No,12,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer,54.55,661.48,No
CUST00031,Male,0,No,Yes,21,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,62.7,1300.72,No
CUST00032,Female,1,Yes,No,26,No,No,No,No,Yes,No,No internet service,Yes,No,One year,No,Mailed check,109.97,2860.69,No
CUST00033,Female,1,No,No,63,No,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,117.24,7394.65,No
CUST00034,Female,1,Yes,No,1,No,No,DSL,No,No internet service,No,No,No internet service,No internet service,Two year,No,Bank transfer,56.15,66.45,No
CUST00035,Male,1,Yes,Yes,25,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card,42.06,1053.95,No
CUST00036,Female,0,Yes,No,68,No,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,27.82,1891.79,Yes
CUST00037,Male,1,No,Yes,29,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,One year,No,Electronic check,103.69,3015.57,No
CUST00038,Male,0,No,Yes,7,No,No phone service,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,107.07,735.29,Yes
CUST00039,Male,0,No,No,37,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,65.05,2414.07,No
CUST00040,Male,1,No,Yes,60,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,No,Mailed check,74.24,4471.17,No
CUST00041,Male,1,Yes,No,64,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Two year,No,Bank transfer,93.98,6022.03,No
CUST00042,Female,1,Yes,Yes,66,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,57.59,3782.8,No
CUST00043,Female,1,Yes,No,45,Yes,No phone service,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Bank transfer,40.15,1806.99,No
CUST00044,Female,1,No,Yes,71,No,No phone service,DSL,No internet service,No internet service,Yes,No,Yes,No,One year,Yes,Mailed check,31.47,2243.42,No
CUST00045,Female,0,Yes,No,42,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,43.52,1809.57,No
CUST00046,Female,1,No,No,58,Yes,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer,84.53,4913.23,No
CUST00047,Male,1,No,No,45,No,No,DSL,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Credit card,54.77,2455.91,No
CUST00048,Female,1,No,No,71,Yes,No,No,Yes,No,No,No,No internet service,No internet service,One year,No,Bank transfer,106.77,7584.22,Yes
CUST00049,Female,0,No,Yes,34,Yes,No phone service,No,No internet service,Yes,No,No internet service,Yes,No,One year,No,Mailed check,28.75,996.15,No
CUST00050,Male,1,No,Yes,38,No,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Electronic check,61.64,2362.12,Yes
CUST00051,Female,0,Yes,No,50,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Credit card,45.7,2290.38,Yes
CUST00052,Male,1,No,Yes,3,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,108.77,325.97,No
CUST00053,Female,1,No,No,50,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,One year,Yes,Credit card,100.62,5018.11,No
CUST00054,Male,0,Yes,No,4,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,118.43,462.05,Yes
CUST00055,Female,1,No,Yes,54,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,One year,Yes,Credit card,31.93,1721.39,No
CUST00056,Female,0,No,Yes,19,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,98.22,1874.27,Yes
CUST00057,Male,0,Yes,No,23,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer,32.59,760.34,No
CUST00058,Male,0,Yes,Yes,35,No,Yes,DSL,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Credit card,35.5,1231.38,No
